feature,importance
ctid_2020,8841
months_since_case,8279
total_av,7041
depth,5983
land_av,5738
yr_built,5343
centroid_lon,5013
front,4914
month_of_year,4811
centroid_lat,4762
luc_parcel,4534
parking_cnt,4441
parking_cnt_roll_3m,4270
parking_cnt_roll_6m,3965
crime_p1_roll_6m,3941
crime_p2_roll_6m,3602
acres,3469
crime_p1_roll_3m,3433
crime_p2,3428
crime_p2_roll_3m,3293
crime_p1,3266
elect_dist,2853
rezone,2309
nhood,2299
zone_dist,1961
cases_roll_12m,1865
city_ward,1528
ctlab_2020,1508
n_resunits,1483
year,956
cases_roll_6m,847
lu_parcel,823
ipsvacant,671
ips_condit,659
doce_area,629
cases_roll_3m,571
overdue_sum,308
rni,298
wtr_active,292
new_cases,266
ct_2020,240
lucat_old,203
overdue_med,185
lpss,129
county_leg,126
overdue_max,119
zip,115
nreligible,102
dpw_quad,74
nys_assemb,74
cases,57
nrsa,28
tnt_name,24
specnhood,20
new_cc_dis,10
inpd,1
pdname,0
