nhood,mean_risk,actual_rate,n
Downtown,0.051738752743284135,0.08227848101265822,158
Hawley-Green,0.05170612572517967,0.04265402843601896,211
Prospect Hill,0.05167842281318239,0.014285714285714285,210
University Hill,0.05039486720715286,0.03664921465968586,191
Franklin Square,0.04912547345841882,0.15,20
Park Ave.,0.04798006602494397,0.07368421052631578,475
Washington Square,0.04754925677539381,0.04060913705583756,788
Northside,0.047320797524511904,0.03138173302107728,2135
Near Eastside,0.04717452352770114,0.01937984496124031,258
Lakefront,0.04693669420216029,0.07575757575757576,66
Near Westside,0.0463080284438202,0.0418552036199095,884
Southside,0.04630084449246479,0.024469820554649267,613
Southwest,0.0459420654159657,0.030107526881720432,465
Lincoln Hill,0.04584358567320479,0.017857142857142856,560
Skunk City,0.04569347983164753,0.03217821782178218,404
Brighton,0.04554382016590674,0.029503105590062112,1288
South Campus,0.04551637149098823,0.0,5
North Valley,0.04456069438811523,0.026729559748427674,636
Elmwood,0.043885821929473864,0.03,700
Westcott,0.043882843936440784,0.023842917251051893,713
Sedgwick,0.04350232356493473,0.01910828025477707,314
Strathmore,0.04341457098166043,0.011029411764705883,544
Tipp Hill,0.0432332381443474,0.07302533532041729,671
Far Westside,0.04307165424753623,0.03131115459882583,511
Eastwood,0.04283744320030305,0.01981981981981982,1665
Salt Springs,0.04236296869213371,0.03787878787878788,528
Meadowbrook,0.04211397496608326,0.031496062992125984,254
University Neighborhood,0.041963555134687094,0.03171247357293869,473
Winkworth,0.041953672992732276,0.0,67
Outer Comstock,0.041856982373272775,0.05341246290801187,337
Court-Woodlawn,0.041515356666827284,0.017094017094017096,819
South Valley,0.041390459215116394,0.02531645569620253,474
